component,layer,ap_impact_pd,ct_rescue_pd
MLP27,27,0.19246678817562946,0.19246678817562946
MLP26,26,0.06828403036768849,-0.04912351180867447
MLP11,11,0.054923168042810944,-0.005126606400420064
MLP22,22,0.03492364650819357,0.021026243523853516
MLP4,4,0.0295570892531698,0.018723312674499226
MLP3,3,0.025919444677306447,0.012197057648402954
MLP8,8,0.021634551083169362,0.025188105862315124
MLP20,20,0.019757595730990896,-0.01954329304578828
MLP5,5,0.01562824554559661,0.01328707904350468
MLP0,0,0.007645624439890808,0.004304939653815287
MLP1,1,0.002426233233475128,-0.00023248500940276084
MLP7,7,-0.005118818544759929,-0.009240098115874451
MLP2,2,-0.0087724248083626,-0.008389951252355754
MLP16,16,-0.01178171939966155,-0.012459417668784556
MLP6,6,-0.014172467516689768,0.00480531337784551
MLP9,9,-0.020070138500957957,-0.0076790568305225015
MLP15,15,-0.025485065652102956,-0.0324856595295232
MLP25,25,-0.02898523647610729,0.003514678013034067
MLP21,21,-0.031720153442243215,-0.03472006902462099
MLP10,10,-0.03879687916941754,-0.019140316218864584
MLP18,18,-0.03920839981334967,-0.025504026471114827
MLP23,23,-0.04252129720478526,-0.03612467210467274
MLP24,24,-0.05823421405582896,-0.052449589822350484
MLP14,14,-0.058595073659245545,-0.0226167251424092
MLP19,19,-0.06585517816427278,-0.05982155334658745
MLP13,13,-0.0802554015706225,-0.010985354097878042
MLP12,12,-0.09403061648694477,-0.043390634583263865
MLP17,17,-0.0951328604686551,-0.04221655392065282
