component,impact_mean,impact_ci_low,impact_ci_high,p_boot_le_0
L17H8,0.21777055866834594,0.19336074450757446,0.24182846462581215,0.0
MLP27,0.1924667881756294,0.16763194465055697,0.217299049583877,0.0
L24H6,0.19192299573886684,0.1667376063854956,0.21812781801492706,0.0
L21H12,0.1913376585012529,0.1701910112053156,0.21253145654208774,0.0
L21H1,0.18978916799149861,0.16695291607118234,0.21139313205168017,0.0
L20H5,0.13458025201064786,0.11936565425882979,0.15082604358109034,0.0
L16H13,0.10922928299845719,0.09328224753461233,0.126338515694185,0.0
L17H2,0.09732914661488883,0.08486051669389737,0.10969910766111642,0.0
L19H8,0.08223164517705034,0.07190023885994422,0.09305647851490392,0.0
L23H6,0.07979991377853765,0.06929935075160934,0.09016756658873908,0.0
L20H14,0.07789759083492,0.06915997059606924,0.08663392074224426,0.0
L18H15,0.07310752934072076,0.06250155720768906,0.08446176749903982,0.0
MLP26,0.06828403036768843,0.05962968715807287,0.07760302835121388,0.0
L16H5,0.0557905293819381,0.0473537977784872,0.06458418412906368,0.0
MLP11,0.05492316804281095,0.045325022735973684,0.06492568525235827,0.0
MLP22,0.0349236465081936,0.027314578868993897,0.042668540630398724,0.0
MLP4,0.029557089253169733,0.024985929087894716,0.034108492532154415,0.0
MLP3,0.025919444677306384,0.022297124128516126,0.02958397799875678,0.0
